class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
998;class_998;36;;1.0;0.9;1.0;0.9473684210526316;36;4;0
353;class_353;46;;0.9130434782608695;0.9767441860465116;0.9130434782608695;0.9438202247191011;42;1;4
810;class_810;19;;0.8421052631578947;1.0;0.8421052631578947;0.9142857142857143;16;0;3
312;class_312;4;;1.0;0.8;1.0;0.888888888888889;4;1;0
908;class_908;14;;0.7857142857142857;0.9166666666666666;0.7857142857142857;0.8461538461538461;11;1;3
888;class_888;13;;0.7692307692307693;0.9090909090909091;0.7692307692307693;0.8333333333333333;10;1;3
798;class_798;15;;0.8;0.8571428571428571;0.8;0.8275862068965518;12;2;3
482;class_482;30;;0.7333333333333333;0.9166666666666666;0.7333333333333333;0.8148148148148148;22;2;8
417;class_417;15;;0.7333333333333333;0.9166666666666666;0.7333333333333333;0.8148148148148148;11;1;4
502;class_502;37;;0.8108108108108109;0.8108108108108109;0.8108108108108109;0.8108108108108109;30;7;7
101;class_101;2;;1.0;0.6666666666666666;1.0;0.8;2;1;0
943;class_943;4;;1.0;0.6666666666666666;1.0;0.8;4;2;0
670;class_670;18;;0.6666666666666666;0.9230769230769231;0.6666666666666666;0.7741935483870968;12;1;6
401;class_401;10;;0.8;0.7272727272727273;0.8;0.761904761904762;8;3;2
956;class_956;28;;0.6785714285714286;0.8636363636363636;0.6785714285714286;0.76;19;3;9
374;class_374;37;;0.6486486486486487;0.8888888888888888;0.6486486486486487;0.75;24;3;13
248;class_248;32;;0.75;0.75;0.75;0.75;24;8;8
160;class_160;19;;0.8947368421052632;0.6296296296296297;0.8947368421052632;0.7391304347826088;17;10;2
262;class_262;50;;0.64;0.8421052631578947;0.64;0.7272727272727272;32;6;18
995;class_995;31;;0.5806451612903226;0.9473684210526315;0.5806451612903226;0.72;18;1;13
680;class_680;66;;0.7121212121212122;0.7230769230769231;0.7121212121212122;0.717557251908397;47;18;19
902;class_902;37;;0.6486486486486487;0.8;0.6486486486486487;0.7164179104477612;24;6;13
484;class_484;24;;0.5416666666666666;1.0;0.5416666666666666;0.7027027027027027;13;0;11
282;class_282;42;;0.5476190476190477;0.9583333333333334;0.5476190476190477;0.696969696969697;23;1;19
176;class_176;19;;0.6842105263157895;0.6842105263157895;0.6842105263157895;0.6842105263157895;13;6;6
121;class_121;28;;0.5357142857142857;0.9375;0.5357142857142857;0.6818181818181818;15;1;13
489;class_489;13;;0.5384615384615384;0.875;0.5384615384615384;0.6666666666666667;7;1;6
148;class_148;1;;1.0;0.5;1.0;0.6666666666666666;1;1;0
812;class_812;3;;1.0;0.5;1.0;0.6666666666666666;3;3;0
576;class_576;2;;0.5;1.0;0.5;0.6666666666666666;1;0;1
579;class_579;11;;0.6363636363636364;0.7;0.6363636363636364;0.6666666666666666;7;3;4
705;class_705;5;;0.6;0.75;0.6;0.6666666666666665;3;1;2
578;class_578;11;;0.5454545454545454;0.8571428571428571;0.5454545454545454;0.6666666666666665;6;1;5
418;class_418;91;;0.5824175824175825;0.7571428571428571;0.5824175824175825;0.6583850931677019;53;17;38
684;class_684;30;;0.6333333333333333;0.6785714285714286;0.6333333333333333;0.6551724137931035;19;9;11
110;class_110;26;;0.6153846153846154;0.6956521739130435;0.6153846153846154;0.6530612244897959;16;7;10
41;class_41;36;;0.6666666666666666;0.631578947368421;0.6666666666666666;0.6486486486486486;24;14;12
840;class_840;40;;0.8;0.5423728813559322;0.8;0.6464646464646464;32;27;8
158;class_158;7;;0.7142857142857143;0.5555555555555556;0.7142857142857143;0.6250000000000001;5;4;2
611;class_611;6;;0.8333333333333334;0.5;0.8333333333333334;0.625;5;5;1
389;class_389;6;;0.8333333333333334;0.5;0.8333333333333334;0.625;5;5;1
753;class_753;28;;0.5;0.7;0.5;0.5833333333333334;14;6;14
229;class_229;15;;0.6;0.5625;0.6;0.5806451612903225;9;7;6
894;class_894;38;;0.5789473684210527;0.5789473684210527;0.5789473684210527;0.5789473684210527;22;16;16
816;class_816;20;;0.5;0.6666666666666666;0.5;0.5714285714285715;10;5;10
416;class_416;15;;0.5333333333333333;0.6153846153846154;0.5333333333333333;0.5714285714285715;8;5;7
801;class_801;24;;0.4166666666666667;0.9090909090909091;0.4166666666666667;0.5714285714285715;10;1;14
966;class_966;8;;0.5;0.6666666666666666;0.5;0.5714285714285715;4;2;4
132;class_132;32;;0.4375;0.8235294117647058;0.4375;0.5714285714285714;14;3;18
750;class_750;72;;0.5833333333333334;0.5526315789473685;0.5833333333333334;0.5675675675675677;42;34;30
64;class_64;36;;0.4166666666666667;0.8823529411764706;0.4166666666666667;0.5660377358490566;15;2;21
994;class_994;14;;0.42857142857142855;0.75;0.42857142857142855;0.5454545454545454;6;2;8
835;class_835;5;;0.6;0.5;0.6;0.5454545454545454;3;3;2
719;class_719;5;;0.6;0.5;0.6;0.5454545454545454;3;3;2
54;class_54;64;;0.40625;0.8125;0.40625;0.5416666666666666;26;6;38
702;class_702;23;;0.43478260869565216;0.7142857142857143;0.43478260869565216;0.5405405405405405;10;4;13
582;class_582;9;;0.4444444444444444;0.6666666666666666;0.4444444444444444;0.5333333333333333;4;2;5
73;class_73;18;;1.0;0.36;1.0;0.5294117647058824;18;32;0
326;class_326;10;;0.5;0.5555555555555556;0.5;0.5263157894736842;5;4;5
115;class_115;58;;0.3620689655172414;0.9545454545454546;0.3620689655172414;0.525;21;1;37
362;class_362;11;;0.6363636363636364;0.4375;0.6363636363636364;0.5185185185185185;7;9;4
910;class_910;31;;0.4838709677419355;0.5555555555555556;0.4838709677419355;0.5172413793103449;15;12;16
609;class_609;3;;0.3333333333333333;1.0;0.3333333333333333;0.5;1;0;2
676;class_676;14;;0.5;0.5;0.5;0.5;7;7;7
694;class_694;4;;0.5;0.5;0.5;0.5;2;2;2
548;class_548;1;;1.0;0.3333333333333333;1.0;0.5;1;2;0
350;class_350;3;;0.3333333333333333;1.0;0.3333333333333333;0.5;1;0;2
331;class_331;6;;0.6666666666666666;0.4;0.6666666666666666;0.5;4;6;2
743;class_743;9;;0.6666666666666666;0.4;0.6666666666666666;0.5;6;9;3
129;class_129;3;;0.3333333333333333;1.0;0.3333333333333333;0.5;1;0;2
118;class_118;17;;0.35294117647058826;0.8571428571428571;0.35294117647058826;0.5;6;1;11
194;class_194;4;;0.75;0.375;0.75;0.5;3;5;1
192;class_192;8;;0.375;0.75;0.375;0.5;3;1;5
420;class_420;1;;1.0;0.3333333333333333;1.0;0.5;1;2;0
772;class_772;47;;0.5319148936170213;0.4716981132075472;0.5319148936170213;0.4999999999999999;25;28;22
202;class_202;31;;0.45161290322580644;0.5384615384615384;0.45161290322580644;0.4912280701754386;14;12;17
303;class_303;44;;0.38636363636363635;0.6538461538461539;0.38636363636363635;0.48571428571428565;17;9;27
186;class_186;12;;0.6666666666666666;0.38095238095238093;0.6666666666666666;0.4848484848484849;8;13;4
432;class_432;10;;0.5;0.45454545454545453;0.5;0.47619047619047616;5;6;5
60;class_60;94;;0.39361702127659576;0.5967741935483871;0.39361702127659576;0.47435897435897434;37;25;57
157;class_157;4;;1.0;0.3076923076923077;1.0;0.47058823529411764;4;9;0
