class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
38;banded_gecko;10;;1.0;1.0;1.0;1.0;10;0;0
583;guillotine;10;;1.0;1.0;1.0;1.0;10;0;0
47;African_chameleon;10;;1.0;1.0;1.0;1.0;10;0;0
382;squirrel_monkey;10;;1.0;1.0;1.0;1.0;10;0;0
376;proboscis_monkey;10;;1.0;1.0;1.0;1.0;10;0;0
685;odometer;10;;1.0;1.0;1.0;1.0;10;0;0
87;African_grey;10;;1.0;1.0;1.0;1.0;10;0;0
20;water_ouzel;10;;1.0;1.0;1.0;1.0;10;0;0
145;king_penguin;10;;1.0;1.0;1.0;1.0;10;0;0
143;oystercatcher;10;;1.0;1.0;1.0;1.0;10;0;0
139;ruddy_turnstone;10;;1.0;1.0;1.0;1.0;10;0;0
974;geyser;10;;1.0;1.0;1.0;1.0;10;0;0
117;chambered_nautilus;10;;1.0;1.0;1.0;1.0;10;0;0
90;lorikeet;10;;1.0;1.0;1.0;1.0;10;0;0
986;yellow_lady's_slipper;10;;1.0;1.0;1.0;1.0;10;0;0
325;sulphur_butterfly;10;;1.0;1.0;1.0;1.0;10;0;0
779;school_bus;10;;1.0;1.0;1.0;1.0;10;0;0
287;lynx;10;;1.0;1.0;1.0;1.0;10;0;0
354;Arabian_camel;10;;1.0;1.0;1.0;1.0;10;0;0
344;hippopotamus;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
323;monarch;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
294;brown_bear;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
993;gyromitra;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
362;badger;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
365;orangutan;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
607;jack-o'-lantern;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
646;maze;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
367;chimpanzee;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
396;lionfish;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
755;radio_telescope;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
105;koala;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
863;totem_pole;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
29;axolotl;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
146;albatross;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
295;American_black_bear;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
316;cicada;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
991;coral_fungus;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
131;little_blue_heron;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
815;spider_web;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
900;water_tower;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
123;spiny_lobster;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
91;coucal;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
107;jellyfish;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
296;ice_bear;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
802;snowmobile;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
781;scoreboard;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
297;sloth_bear;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
332;Angora;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
313;walking_stick;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
355;llama;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
388;giant_panda;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
953;pineapple;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
24;great_grey_owl;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
576;gondola;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
366;gorilla;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
466;bullet_train;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
812;space_shuttle;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
293;cheetah;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
301;ladybug;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
283;Persian_cat;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
324;cabbage_butterfly;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
350;ibex;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
684;ocarina;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
957;pomegranate;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
361;skunk;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
995;earthstar;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
364;three-toed_sloth;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
100;black_swan;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
320;damselfly;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
798;slide_rule;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
144;pelican;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
330;wood_rabbit;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
83;prairie_chicken;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
289;snow_leopard;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
274;dhole;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
343;warthog;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
604;hourglass;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
348;ram;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
13;junco;10;;0.9;0.9;0.9;0.9;9;1;1
535;disk_brake;10;;0.9;0.9;0.9;0.9;9;1;1
594;harp;10;;0.9;0.9;0.9;0.9;9;1;1
475;car_mirror;10;;0.9;0.9;0.9;0.9;9;1;1
994;stinkhorn;10;;0.9;0.9;0.9;0.9;9;1;1
363;armadillo;10;;0.9;0.9;0.9;0.9;9;1;1
398;abacus;10;;0.9;0.9;0.9;0.9;9;1;1
500;cliff_dwelling;10;;0.9;0.9;0.9;0.9;9;1;1
561;forklift;10;;0.9;0.9;0.9;0.9;9;1;1
272;coyote;10;;0.9;0.9;0.9;0.9;9;1;1
70;harvestman;10;;0.9;0.9;0.9;0.9;9;1;1
336;marmot;10;;0.9;0.9;0.9;0.9;9;1;1
317;leafhopper;10;;0.9;0.9;0.9;0.9;9;1;1
247;Saint_Bernard;10;;0.9;0.9;0.9;0.9;9;1;1
255;Leonberg;10;;0.9;0.9;0.9;0.9;9;1;1
113;snail;10;;0.9;0.9;0.9;0.9;9;1;1
88;macaw;10;;0.9;0.9;0.9;0.9;9;1;1
138;bustard;10;;0.9;0.9;0.9;0.9;9;1;1
31;tree_frog;10;;0.9;0.9;0.9;0.9;9;1;1
1;goldfish;10;;0.9;0.9;0.9;0.9;9;1;1
0;tench;10;;0.9;0.9;0.9;0.9;9;1;1
338;guinea_pig;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
76;tarantula;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
726;plane;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
747;punching_bag;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
628;liner;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
510;container_ship;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
992;agaric;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
956;custard_apple;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
89;sulphur-crested_cockatoo;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
688;oscilloscope;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
803;snowplow;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
284;Siamese_cat;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
783;screw;10;;1.0;0.7692307692307693;1.0;0.8695652173913044;10;3;0
