class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
986;yellow_lady's_slipper;10;;1.0;1.0;1.0;1.0;10;0;0
88;macaw;10;;1.0;1.0;1.0;1.0;10;0;0
100;black_swan;10;;1.0;1.0;1.0;1.0;10;0;0
640;manhole_cover;10;;1.0;1.0;1.0;1.0;10;0;0
322;ringlet;10;;1.0;1.0;1.0;1.0;10;0;0
325;sulphur_butterfly;10;;1.0;1.0;1.0;1.0;10;0;0
974;geyser;10;;1.0;1.0;1.0;1.0;10;0;0
255;Leonberg;10;;1.0;1.0;1.0;1.0;10;0;0
812;space_shuttle;10;;1.0;1.0;1.0;1.0;10;0;0
350;ibex;10;;1.0;1.0;1.0;1.0;10;0;0
146;albatross;10;;1.0;1.0;1.0;1.0;10;0;0
75;black_widow;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
145;king_penguin;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
364;three-toed_sloth;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
365;orangutan;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
343;warthog;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
276;hyena;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
871;trimaran;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
323;monarch;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
13;junco;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
65;sea_snake;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
594;harp;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
647;measuring_cup;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
560;football_helmet;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
607;jack-o'-lantern;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
956;custard_apple;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
24;great_grey_owl;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
991;coral_fungus;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
417;balloon;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
576;gondola;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
90;lorikeet;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
117;chambered_nautilus;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
107;jellyfish;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
685;odometer;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
344;hippopotamus;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
376;proboscis_monkey;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
251;dalmatian;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
291;lion;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
1;goldfish;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
321;admiral;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
900;water_tower;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
0;tench;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
160;Afghan_hound;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
138;bustard;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
139;ruddy_turnstone;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
140;red-backed_sandpiper;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
136;European_gallinule;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
389;barracouta;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
362;badger;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
367;chimpanzee;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
43;frilled_lizard;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
63;Indian_cobra;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
863;totem_pole;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
289;snow_leopard;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
317;leafhopper;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
339;sorrel;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
287;lynx;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
798;slide_rule;10;;0.9;0.9;0.9;0.9;9;1;1
755;radio_telescope;10;;0.9;0.9;0.9;0.9;9;1;1
143;oystercatcher;10;;0.9;0.9;0.9;0.9;9;1;1
105;koala;10;;0.9;0.9;0.9;0.9;9;1;1
91;coucal;10;;0.9;0.9;0.9;0.9;9;1;1
369;siamang;10;;0.9;0.9;0.9;0.9;9;1;1
392;rock_beauty;10;;0.9;0.9;0.9;0.9;9;1;1
290;jaguar;10;;0.9;0.9;0.9;0.9;9;1;1
316;cicada;10;;0.9;0.9;0.9;0.9;9;1;1
288;leopard;10;;0.9;0.9;0.9;0.9;9;1;1
296;ice_bear;10;;0.9;0.9;0.9;0.9;9;1;1
476;carousel;10;;0.9;0.9;0.9;0.9;9;1;1
475;car_mirror;10;;0.9;0.9;0.9;0.9;9;1;1
510;container_ship;10;;0.9;0.9;0.9;0.9;9;1;1
38;banded_gecko;10;;0.9;0.9;0.9;0.9;9;1;1
646;maze;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
561;forklift;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
209;Chesapeake_Bay_retriever;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
781;scoreboard;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
20;water_ouzel;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
216;clumber;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
565;freight_car;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
94;hummingbird;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
739;potter's_wheel;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
87;African_grey;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
71;scorpion;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
89;sulphur-crested_cockatoo;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
97;drake;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
9;ostrich;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
886;vending_machine;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
294;brown_bear;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
324;cabbage_butterfly;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
839;suspension_bridge;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
953;pineapple;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
669;mosquito_net;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
793;shower_cap;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
333;hamster;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
363;armadillo;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
332;Angora;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
466;bullet_train;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
127;white_stork;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
354;Arabian_camel;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
98;red-breasted_merganser;10;;1.0;0.7692307692307693;1.0;0.8695652173913044;10;3;0
300;tiger_beetle;10;;1.0;0.7692307692307693;1.0;0.8695652173913044;10;3;0
83;prairie_chicken;10;;1.0;0.7692307692307693;1.0;0.8695652173913044;10;3;0
293;cheetah;10;;1.0;0.7692307692307693;1.0;0.8695652173913044;10;3;0
766;rotisserie;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
228;komondor;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
8;hen;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
261;keeshond;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
874;trolleybus;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
996;hen-of-the-woods;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
994;stinkhorn;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
533;dishrag;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
727;planetarium;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
990;buckeye;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
306;rhinoceros_beetle;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
326;lycaenid;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
394;sturgeon;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
154;Pekinese;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
785;seat_belt;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
803;snowplow;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
450;bobsled;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
131;little_blue_heron;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
181;Bedlington_terrier;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
989;hip;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
983;scuba_diver;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
554;fireboat;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
563;fountain_pen;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
993;gyromitra;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
955;jackfruit;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
569;garbage_truck;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
573;go-kart;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
604;hourglass;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
627;limousine;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
732;Polaroid_camera;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
104;wallaby;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
712;Petri_dish;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
113;snail;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
53;ringneck_snake;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
45;Gila_monster;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
220;Sussex_spaniel;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
244;Tibetan_mastiff;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
388;giant_panda;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
832;stupa;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
361;skunk;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
396;lionfish;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
366;gorilla;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
149;dugong;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
820;steam_locomotive;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
351;hartebeest;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
10;brambling;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
714;pick;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
528;dial_telephone;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
70;harvestman;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
551;face_powder;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
580;greenhouse;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
535;disk_brake;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
64;green_mamba;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
279;Arctic_fox;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
256;Newfoundland;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
275;African_hunting_dog;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
247;Saint_Bernard;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
347;bison;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
338;guinea_pig;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
355;llama;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
779;school_bus;10;;1.0;0.7142857142857143;1.0;0.8333333333333333;10;4;0
102;echidna;10;;1.0;0.7142857142857143;1.0;0.8333333333333333;10;4;0
537;dogsled;10;;1.0;0.7142857142857143;1.0;0.8333333333333333;10;4;0
7;cock;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
897;washer;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
286;cougar;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
283;Persian_cat;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
915;yurt;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
258;Samoyed;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
76;tarantula;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
51;triceratops;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
47;African_chameleon;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
995;earthstar;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
606;iron;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
736;pool_table;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
722;ping-pong_ball;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
908;wing;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
407;ambulance;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
144;pelican;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
500;cliff_dwelling;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
723;pinwheel;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
540;drilling_platform;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
746;puck;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
574;golf_ball;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
84;peacock;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
348;ram;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
786;sewing_machine;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
761;remote_control;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
315;mantis;10;;0.9;0.75;0.9;0.8181818181818182;9;3;1
795;ski;10;;0.9;0.75;0.9;0.8181818181818182;9;3;1
401;accordion;10;;0.9;0.75;0.9;0.8181818181818182;9;3;1
688;oscilloscope;10;;0.9;0.75;0.9;0.8181818181818182;9;3;1
79;centipede;10;;0.9;0.75;0.9;0.8181818181818182;9;3;1
52;thunder_snake;10;;0.9;0.75;0.9;0.8181818181818182;9;3;1
92;bee_eater;10;;0.9;0.75;0.9;0.8181818181818182;9;3;1
299;meerkat;10;;0.9;0.75;0.9;0.8181818181818182;9;3;1
303;long-horned_beetle;10;;0.9;0.75;0.9;0.8181818181818182;9;3;1
387;lesser_panda;10;;0.9;0.75;0.9;0.8181818181818182;9;3;1
382;squirrel_monkey;10;;0.9;0.75;0.9;0.8181818181818182;9;3;1
645;maypole;10;;0.8;0.8;0.8;0.8000000000000002;8;2;2
612;jinrikisha;10;;0.8;0.8;0.8;0.8000000000000002;8;2;2
480;cash_machine;10;;0.8;0.8;0.8;0.8000000000000002;8;2;2
81;ptarmigan;10;;0.8;0.8;0.8;0.8000000000000002;8;2;2
116;chiton;10;;0.8;0.8;0.8;0.8000000000000002;8;2;2
95;jacamar;10;;0.8;0.8;0.8;0.8000000000000002;8;2;2
383;Madagascar_cat;10;;0.8;0.8;0.8;0.8000000000000002;8;2;2
783;screw;10;;0.8;0.8;0.8;0.8000000000000002;8;2;2
439;bearskin;10;;0.8;0.8;0.8;0.8000000000000002;8;2;2
134;crane;10;;0.8;0.8;0.8;0.8000000000000002;8;2;2
298;mongoose;10;;0.8;0.8;0.8;0.8000000000000002;8;2;2
336;marmot;10;;0.8;0.8;0.8;0.8000000000000002;8;2;2
853;thatch;10;;0.8;0.8;0.8;0.8000000000000002;8;2;2
212;English_setter;10;;0.8;0.8;0.8;0.8000000000000002;8;2;2
274;dhole;10;;0.8;0.8;0.8;0.8000000000000002;8;2;2
